label,uri
"SUBDUCTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/0d43cb88-dd6d-40ac-b241-b628a39ed2af
"PALMER DROUGHT SEVERITY INDEX",https://gcmdservices.gsfc.nasa.gov/kms/concept/a43850a1-7b00-4993-80ff-753c2b5c4015
"EPEIROGENIC MOVEMENT",https://gcmdservices.gsfc.nasa.gov/kms/concept/ebcd5f14-9468-493b-b0e6-de5afda2621a
"ROCKS/MINERALS/CRYSTALS",https://gcmdservices.gsfc.nasa.gov/kms/concept/ba8d7f68-ad3a-4874-bc75-312b24b1b1ac
"RIFT VALLEYS",https://gcmdservices.gsfc.nasa.gov/kms/concept/f32afbca-dac6-41b1-a198-791c1fb57951
"NATURAL GAS VERTICAL/GEOGRAPHIC DISTRIBUTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/58769369-608c-4482-924b-207454a5fb1c
"HYDROGEN CYANIDE",https://gcmdservices.gsfc.nasa.gov/kms/concept/af157837-bdbd-4a9a-b24e-6a79adfef57f
"DISSOLVED GASES",https://gcmdservices.gsfc.nasa.gov/kms/concept/38219b66-2acd-4f77-a0fc-8241172c9001
"ICE-DAMMED LAKES",https://gcmdservices.gsfc.nasa.gov/kms/concept/ee565a8c-72b9-44a4-b25d-efefd1a28d8d
"SUBMERGENCE",https://gcmdservices.gsfc.nasa.gov/kms/concept/43b2798d-32ac-497f-8881-98d52422e3ac
"ORBITAL CHARACTERISTICS",https://gcmdservices.gsfc.nasa.gov/kms/concept/4809f1e1-1b36-46a7-a7ae-ce55523424e6
"WAVE SETUP",https://gcmdservices.gsfc.nasa.gov/kms/concept/4dd520ea-30fc-416d-b98c-340fd23431d3
"CHEMICAL DECOMPOSITION",https://gcmdservices.gsfc.nasa.gov/kms/concept/4efb531e-3c6c-4469-9215-d55a8a6ce9da
"WATER PRESSURE",https://gcmdservices.gsfc.nasa.gov/kms/concept/84784fef-5b76-45a0-91e0-28788e09fea6
"HYPOXIA",https://gcmdservices.gsfc.nasa.gov/kms/concept/b846063c-e218-4fc6-9866-0cdca24e9023
"COMPOSITION/TEXTURE",https://gcmdservices.gsfc.nasa.gov/kms/concept/8d396c19-6c45-44f6-9b59-53e1c3712622
"OCEAN TEMPERATURE",https://gcmdservices.gsfc.nasa.gov/kms/concept/251c87cd-03b3-464f-8390-8ede2fec28fc
"ALTOSTRATUS UNDULATUS",https://gcmdservices.gsfc.nasa.gov/kms/concept/4da38a31-aac6-4080-96b0-c8ee2cb33158
"CLIMATE ADVISORIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/392ff7f6-dcf6-4543-930e-3e6e441ad881
"SNOW COVER DEGRADATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/994cc55d-b789-4f03-98dc-4cd0f58ad12a
"TRANSMITTANCE",https://gcmdservices.gsfc.nasa.gov/kms/concept/714be1d7-2012-4a98-bdd5-02bbcadf69d8
"INDUSTRIALIZATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/92d8968b-617e-433d-ab9b-e269497c3f43
"RADIOCARBON",https://gcmdservices.gsfc.nasa.gov/kms/concept/8f4e90e0-aea0-40cd-b781-a6a69a6e6cb3
"CHAIN DEFINITION SERVICES",https://gcmdservices.gsfc.nasa.gov/kms/concept/83cfde01-9ed0-44df-a606-4bcd7350706c
"ROCHE MOUTONNEES/SHEEPBACK",https://gcmdservices.gsfc.nasa.gov/kms/concept/e96cea31-2bee-4d9d-bf4a-d0f469aa3bd4
"SOLAR ACTIVE REGIONS",https://gcmdservices.gsfc.nasa.gov/kms/concept/0d32a340-ee64-4795-9254-09dcaf55bf4c
"PRECIPITATION INDICES",https://gcmdservices.gsfc.nasa.gov/kms/concept/52347642-9786-4b59-be77-02e9f307118d
"WATER-LEAVING RADIANCE",https://gcmdservices.gsfc.nasa.gov/kms/concept/ad41b62a-141b-4207-887c-334367860cf4
"SOIL SALINITY/SOIL SODICITY",https://gcmdservices.gsfc.nasa.gov/kms/concept/3b54403e-25a1-43cc-97ac-7c14e73bda96
"SURFACE RADIATIVE PROPERTIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/cb5cc628-a1b5-459e-934f-881153a937b8
"MARINE GEOPHYSICS",https://gcmdservices.gsfc.nasa.gov/kms/concept/bb04ee83-bf49-4f96-898d-20bb6e92bc93
"MAGNETIC DECLINATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/f311eac7-5c85-4a8f-90c2-abcff3eec92d
"GEOTECHNICAL PROPERTIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/d4f4b5d3-27b2-4b7d-bb69-733b67ac687a
"PT",https://gcmdservices.gsfc.nasa.gov/kms/concept/15f42cd5-9822-4769-be88-3efe64205ce0
"RADIOLARIANS",https://gcmdservices.gsfc.nasa.gov/kms/concept/9becd489-f8fb-4dbb-b920-6c8399100515
"SAMOA INDEX",https://gcmdservices.gsfc.nasa.gov/kms/concept/2c1e046e-2feb-4cb7-a6dd-f3753db7b5f5
"FREEZING INDEX",https://gcmdservices.gsfc.nasa.gov/kms/concept/2329bf96-d927-4993-95f9-93551d787ad7
"GLACIER ELEVATION/ICE SHEET ELEVATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/83bd640d-cd05-49a8-9ec7-aab60820b126
"HEAT WAVE",https://gcmdservices.gsfc.nasa.gov/kms/concept/ca820557-401e-4e5e-ac32-29fdbc0628b3
"SEDIMENTARY ROCK PHYSICAL/OPTICAL PROPERTIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/609aeae6-388f-41a1-8813-a2e760e8fdb7
"SUBSIDENCE",https://gcmdservices.gsfc.nasa.gov/kms/concept/b3657e71-acd1-4be4-9c70-a54e074a40a4
"REFLECTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/f2057998-1d06-4e58-9177-447942355d66
"TRANSFORMATION/CONVERSION",https://gcmdservices.gsfc.nasa.gov/kms/concept/31ab3c10-1f10-4372-82d4-4c0c4be5999f
"RIVERS/STREAM",https://gcmdservices.gsfc.nasa.gov/kms/concept/43d51c24-0523-4b65-919f-17618c7d72b4
"GLACIER/HANGING/U-SHAPED VALLEYS",https://gcmdservices.gsfc.nasa.gov/kms/concept/d23f75ed-29ea-4aa2-8785-fd3a3726bc33
"QBO",https://gcmdservices.gsfc.nasa.gov/kms/concept/e932c1de-a7b5-4cbc-9f56-a40234334b2e
"DECOMPOSITION",https://gcmdservices.gsfc.nasa.gov/kms/concept/7b60ab41-92e7-4550-821b-0ab7ebd3d7c8
"SPECIES RECRUITMENT",https://gcmdservices.gsfc.nasa.gov/kms/concept/b98b8823-3e95-4383-bbb0-414ee8832112
"FREEZE/FROST DATE",https://gcmdservices.gsfc.nasa.gov/kms/concept/226d4804-1a09-4d9b-a5c1-346f52a2e709
"PRESSURE ANOMALIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/011bed30-f5b6-4b46-a7ce-797851f24f24
"NPO",https://gcmdservices.gsfc.nasa.gov/kms/concept/b362dfd4-3901-4db9-9e39-bb29b6dad621
"COMMUNICATIONS",https://gcmdservices.gsfc.nasa.gov/kms/concept/db692676-a2f6-4fd9-91b6-92ae4f9c04fd
"MYSIDS",https://gcmdservices.gsfc.nasa.gov/kms/concept/bfda8569-896e-4efa-81e1-8f02af8b1017
"ELECTRICAL",https://gcmdservices.gsfc.nasa.gov/kms/concept/dfb9f260-ce31-4bdc-99af-f3a6f89f52a2
"SOLAR RADIO WAVE EMISSIONS",https://gcmdservices.gsfc.nasa.gov/kms/concept/25aa0f7b-89a5-46d7-b3d3-622b60032661
"LORICIFERANS",https://gcmdservices.gsfc.nasa.gov/kms/concept/470b8420-2a72-4a0c-9c87-e85c57bf01bb
"FAUNA",https://gcmdservices.gsfc.nasa.gov/kms/concept/cffe377f-d840-4bcf-9223-8379b72defe7
"ARTHROPODS",https://gcmdservices.gsfc.nasa.gov/kms/concept/bb87baf5-3844-4a56-865f-ea5ed420db06
"FRESHWATER SPRINGS",https://gcmdservices.gsfc.nasa.gov/kms/concept/c87c086a-933f-44c7-a128-33279b36d7b5
"PLANT COMMODITIES",https://gcmdservices.gsfc.nasa.gov/kms/concept/d6560f20-3bef-41c6-8eec-9f913329b9ac
"PALEOCLIMATE RECONSTRUCTIONS",https://gcmdservices.gsfc.nasa.gov/kms/concept/6f6423e8-ab4e-4572-8982-d9c40f64e28b
"TREE RINGS",https://gcmdservices.gsfc.nasa.gov/kms/concept/6444fc67-8cad-41c0-9ded-e93f604ba8b0
"DEPTH HOAR",https://gcmdservices.gsfc.nasa.gov/kms/concept/c306d542-9be8-449d-ba33-28ad033c77aa
"CANOPY CHARACTERISTICS",https://gcmdservices.gsfc.nasa.gov/kms/concept/abbba948-9b77-4e19-a855-49a7fbc17696
"FJORDS",https://gcmdservices.gsfc.nasa.gov/kms/concept/a90899c8-fe50-48e0-b92c-bb64f6ae681c
"WATER DEPTH",https://gcmdservices.gsfc.nasa.gov/kms/concept/ca477721-473b-40d7-a72b-4ffa963e48fb
"OCEAN COASTAL UPWELLING INDEX",https://gcmdservices.gsfc.nasa.gov/kms/concept/74ad118c-2f18-40fb-a26e-092390f52c20
"SPECIFIC SURFACE AREA",https://gcmdservices.gsfc.nasa.gov/kms/concept/a72b96ad-3755-4205-b353-66592c7bff54
"TROPHIC DYNAMICS",https://gcmdservices.gsfc.nasa.gov/kms/concept/bd46a0bf-5c06-48af-a6c9-022417b1fffd
"SEDIMENTS",https://gcmdservices.gsfc.nasa.gov/kms/concept/0960827a-ecdb-40a0-babc-fbd6df27bb53
"SEA ICE/OCEAN CLASSIFICATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/7a55ceba-057a-408f-924f-9ea1d4675f26
"VAPOR PRESSURE",https://gcmdservices.gsfc.nasa.gov/kms/concept/433ea253-243d-42e4-bc61-f85eb7a73879
"POLLEN",https://gcmdservices.gsfc.nasa.gov/kms/concept/14c8721e-4d05-4aaa-90be-8607ae2f84b1
"REFERENCE AND INFORMATION SERVICES",https://gcmdservices.gsfc.nasa.gov/kms/concept/a3a5d0dd-0e8f-4649-8a55-25f9251e1008
"PALEOMAGNETISM",https://gcmdservices.gsfc.nasa.gov/kms/concept/720969dd-e966-41aa-af94-ee41cdf60390
"GLACIERS",https://gcmdservices.gsfc.nasa.gov/kms/concept/68eed887-8008-4352-b420-949457ab59ab
"SPECTRAL/ENGINEERING",https://gcmdservices.gsfc.nasa.gov/kms/concept/83150c54-5da8-4ee8-9579-19b95a8dc10c
"ESTUARINE WETLANDS",https://gcmdservices.gsfc.nasa.gov/kms/concept/0e1f3f95-58b5-4f10-b239-850c66ed55ff
"SEDIMENTARY STRUCTURES",https://gcmdservices.gsfc.nasa.gov/kms/concept/282ea985-efd0-4113-860d-b8221f6cc6f2
"VOLCANIC FORCING",https://gcmdservices.gsfc.nasa.gov/kms/concept/78c47e38-e842-4e31-81b2-44f44c52c692
"LAND SUBSIDENCE",https://gcmdservices.gsfc.nasa.gov/kms/concept/ba064d3f-0327-49d2-9984-332de1a97146
"RADIOCARBON",https://gcmdservices.gsfc.nasa.gov/kms/concept/bf0db125-0182-42e7-81c9-6ed55a05ddd0
"ABSORPTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/d2e93932-0231-4b23-af2f-217c6315a95e
"DIMENSION MEASUREMENT SERVICES",https://gcmdservices.gsfc.nasa.gov/kms/concept/c53868ba-608c-495c-a65d-038f53f7267f
"EL NINO SOUTHERN OSCILLATION (ENSO)",https://gcmdservices.gsfc.nasa.gov/kms/concept/095a05c0-6220-4abd-9c1b-c4504a092d7d
"METAMORPHIC ROCKS",https://gcmdservices.gsfc.nasa.gov/kms/concept/d220bbb1-410e-4b77-9663-78cb68c6b134
"WATER MANAGEMENT",https://gcmdservices.gsfc.nasa.gov/kms/concept/14555831-70ae-4650-8983-956d65595575
"INCREASED/DECREASED CLOUD FRACTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/2111d240-315c-411b-8114-7ef9e89317e5
"MICROFOSSILS",https://gcmdservices.gsfc.nasa.gov/kms/concept/0aa423e0-bc21-4d74-894d-a0dfcf17fae5
"PHOSPHORUS",https://gcmdservices.gsfc.nasa.gov/kms/concept/9169ace5-0f04-4fc9-b38d-b89a786b9fe1
"ARETES",https://gcmdservices.gsfc.nasa.gov/kms/concept/d37d51e0-1bef-473a-9221-6713166762f9
"LAVA SPEED/FLOW",https://gcmdservices.gsfc.nasa.gov/kms/concept/9387a7bc-7356-41a5-9682-f5e71da5a858
"SUPERSATURATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/293cdec2-44b7-488c-ae04-0722f0a9e8b9
"CONDENSATION",https://gcmdservices.gsfc.nasa.gov/kms/concept/d7fbbafe-fc73-4b63-9837-3d53d2370d9d
"GEOMORPHIC LANDFORMS/PROCESSES",https://gcmdservices.gsfc.nasa.gov/kms/concept/d35b9ba5-d018-48a5-8f0d-92b9c55b3279
"pH",https://gcmdservices.gsfc.nasa.gov/kms/concept/14625f2a-4186-4377-a0d9-88998bb6b775
"PALEOMAGNETIC DATA",https://gcmdservices.gsfc.nasa.gov/kms/concept/219ba382-6c90-43d2-a6cf-2ddcc358f70e
"COMMON SENSE CLIMATE INDEX",https://gcmdservices.gsfc.nasa.gov/kms/concept/c7fa79e4-67a1-45da-b393-a1b89d54a1a5
"STORM SURGE",https://gcmdservices.gsfc.nasa.gov/kms/concept/062be713-9c35-458e-86e2-26cea9415f5d
"SEDIMENTARY ROCK VERTICAL/GEOGRAPHIC DISTRIBUTION",https://gcmdservices.gsfc.nasa.gov/kms/concept/23706ac6-8f15-4548-b1c5-6594d825d56d
"WEB TERRAIN SERVICE",https://gcmdservices.gsfc.nasa.gov/kms/concept/bb0e3a35-d81e-4741-9c0e-3b77bc409cf8
"STORM SURGE",https://gcmdservices.gsfc.nasa.gov/kms/concept/0bf50cd4-8a97-468c-8e73-047e3e09a03d
"EMISSION",https://gcmdservices.gsfc.nasa.gov/kms/concept/4b12439a-45fc-42fa-ae19-535826f6247b
"DROUGHT SEVERITY",https://gcmdservices.gsfc.nasa.gov/kms/concept/1a6b76b0-6c03-4021-92fb-66552edcf845
"LUSTER",https://gcmdservices.gsfc.nasa.gov/kms/concept/a4596f71-207c-4037-b3a1-7ab0cd12daec
"SEDIMENT TRANSPORT",https://gcmdservices.gsfc.nasa.gov/kms/concept/e4ad5a76-7540-4433-ad82-9fe89259538b
"SPINY-HEADED WORMS",https://gcmdservices.gsfc.nasa.gov/kms/concept/af9520f0-6011-45e0-a1d8-bd8c3ed042b0
